Report generated on: 03-02-2022 13:07:19
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.4702-33-CZE-THP.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","10330.9","10333.5","10325.75","10313.7","10302.85","10293.2","10282.43","10249.3","10212.75","10195.85","10194.33","10197.55","10214.3","10242.73","10309.95","10394.9","10448.47","10477.48","10498.45","10512.12","10513.8","10528.58","10548.03","10569.45","10598.3","10634.9","10677.38","10703.15"
"INTL.4702-33-CIV-THP.A","        Côte d’Ivoire","8033.65","8393.69","8764.99","9144.94","9530.1","9918.2","10307.3","10698.2","11094.7","11502.5","11924.9","12362.4","12812.4","13271.6","13735.4","14199.8","14665.1","15130.7","15589.4","16032.6","16454.7","16853","17231.5","17599.6","17970.5","18354.5","18754.9","19171.2","19605.6","20059.2","20532.9","21028.7","21547.2","22087.5","22647.7","23226.2","23822.7","24437.5","25084.4","25731.3","26378.3"
"INTL.4702-33-DNK-THP.A","        Denmark","5123.27","5120.965","5117.473","5113.755","5111.492","5114.335","5121.595","5127.58","5129.583","5133.297","5142.32","5156.255","5173.68","5190.63","5208.565","5237.785","5266.085","5287.458","5306.56","5323.855","5342.015","5361.175","5377.825","5392.34","5406.24","5421.438","5439.725","5465.024","5498.08","5526.007","5550.918","5573.058","5594.335","5618.005","5647.535","5689.425","5733.2","5769.03","5796.748","5816.505","5829.525"
"INTL.4702-33-DJI-THP.A","        Djibouti","358.96","372.29","385.619","398.949","412.278","425.608","458.565","491.522","524.479","557.436","590.393","598.391","606.39","614.388","622.387","630.385","647.823","665.262","682.7","700.139","717.577","730.711","743.845","756.98","770.114","783.248","794.637","806.026","817.416","828.805","840.194","854.955","869.716","884.476","899.237","913.998","928.799","943.6","958.4","973.201","988.002"
"INTL.4702-33-DMA-THP.A","        Dominica","75.318","75.314","75.012","74.484","73.846","73.207","72.531","71.842","71.212","70.722","70.422","70.377","70.546","70.818","71.044","71.105","70.933","70.592","70.183","69.828","69.65","69.671","69.84","70.102","70.387","70.58","70.718","70.797","70.829","70.848","70.877","70.912","70.954","71.019","71.091","71.175","71.307","71.46","71.626","71.808","71.991"
"INTL.4702-33-DOM-THP.A","        Dominican Republic","5803.93","5935.9","6067.77","6199.66","6331.76","6464.23","6596.97","6729.93","6863.44","6997.88","7133.49","7270.41","7408.34","7546.47","7683.71","7819.24","7952.77","8084.41","8214.43","8343.29","8471.32","8598.6","8724.97","8850.32","8974.44","9097.26","9218.68","9338.86","9458.08","9576.74","9695.12","9813.22","9930.92","10048.2","10165.2","10281.7","10397.7","10513.1","10624.7","10736.3","10847.9"
"INTL.4702-33-ECU-THP.A","        Ecuador","7989.18","8197.65","8409.4","8624.59","8843.46","9066.1","9292.48","9522.36","9755.58","9991.87","10230.9","10472.5","10716.1","10961.5","11208","11455.2","11703.2","11951.5","12198.5","12442.1","12681.1","12914.7","13143.5","13369.7","13596.4","13825.8","14059.4","14296.5","14535.7","14774.4","15011.1","15243.9","15474.1","15707.5","15951.8","16212","16491.1","16785.4","17071.3","17357.2","17643.1"
"INTL.4702-33-EGY-THP.A","        Egypt","43309.1","44400.1","45539.3","46728.3","47968.6","49258.7","50602.4","51991.7","53399.2","54788.7","56134.5","57424.6","58666.8","59880.7","61095.8","62334","63601.6","64892.3","66200.3","67515.6","68831.6","70152.7","71485","72826.1","74172.1","75523.6","76873.7","78232.1","79636.1","81134.8","82761.2","84529.2","86422.2","88404.6","90424.7","92442.5","94447.1","96442.6","98406.5","100370","102334"
"INTL.4702-33-SLV-THP.A","        El Salvador","4591.13","4666.36","4737.26","4804.94","4871.04","4936.8","5002.34","5067.53","5133.27","5200.61","5270.07","5342.19","5416.33","5490.48","5561.92","5628.6","5689.94","5746.29","5797.76","5844.83","5887.93","5927","5962.14","5994.08","6023.8","6052.12","6079.4","6105.81","6131.77","6157.68","6183.88","6210.57","6237.92","6266.08","6295.12","6325.12","6356.14","6388.12","6420.82","6453.51","6486.2"
"INTL.4702-33-GNQ-THP.A","        Equatorial Guinea","249.931","264.37","284.638","308.208","331.554","352.116","369.024","382.977","394.973","406.62","419.188","432.844","447.269","462.637","479.099","496.768","515.844","536.459","558.496","581.765","606.18","631.662","658.388","686.67","716.949","749.527","784.494","821.686","860.839","901.589","943.64","986.861","1031.19","1076.41","1122.27","1168.57","1215.18","1262.01","1309","1355.99","1402.98"
"INTL.4702-33-ERI-THP.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","2215.11","2204.23","2221.86","2239.5","2257.14","2274.78","2292.41","2399.26","2506.11","2612.96","2719.8","2826.65","2895.41","2964.17","3032.92","3101.68","3170.44","3204.91","3239.39","3273.86","3308.34","3342.82","3383.54","3424.26","3464.98","3505.71","3546.43"
