Report generated on: 03-02-2022 20:09:03
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-COG-BDOLPPP.A","        Congo-Brazzaville","NA","NA","NA","NA","NA","NA","NA","NA","9.89813","10.0728","10.1739","10.4176","10.6897","10.585","10.0035","10.4022","11.0671","10.7974","11.1859","10.8949","11.72","12.1665","12.724","12.8268","13.2848","14.3006","16.1664","15.0972","16.0493","17.917","19.6964","20.1308","22.1333","21.9756","23.2843","22.531","20.235","19.2975","18.1003","17.937","16.4707"
"INTL.4701-34-COD-BDOLPPP.A","        Congo-Kinshasa","NA","NA","NA","NA","NA","NA","NA","NA","58.035","57.3003","53.5366","49.0282","43.8803","37.97","36.4892","36.7446","36.3687","34.3258","33.7683","32.3264","30.0923","29.4603","30.3287","32.0204","34.1781","36.2749","38.2051","40.5966","43.1241","44.3553","47.5081","50.7741","54.3724","58.9842","64.5702","69.036","70.6924","73.3271","77.5956","80.9978","81.6242"
"INTL.4701-34-COK-BDOLPPP.A","        Cook Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-CRI-BDOLPPP.A","        Costa Rica","NA","NA","NA","NA","NA","NA","NA","NA","25.2381","26.5531","27.4765","28.2913","30.8944","33.0871","34.5823","36.0188","36.5052","38.5043","41.2594","42.9984","44.6619","46.2211","47.8005","49.8641","52.0704","54.141","58.1078","62.8814","65.8609","65.2856","68.7851","71.8138","75.3202","77.1993","79.9338","82.853","86.3364","89.926","92.2784","94.3605","90.526"
"INTL.4701-34-HRV-BDOLPPP.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","61.748","56.8083","60.1599","64.7359","68.6223","72.844","74.4882","73.8478","75.9835","78.2495","82.68409","87.2352","90.8554","94.7285","99.402","104.2461","106.1837","98.4598","97.258","97.22009","95.0773","94.7394","94.405","96.7162","100.1837","103.5685","106.5392","110.2903","101.7066"
"INTL.4701-34-CUB-BDOLPPP.A","        Cuba","NA","NA","NA","NA","NA","NA","NA","NA","88.3725","88.9735","86.3501","77.1169","68.1863","58.0414","58.4575","59.894","64.5889","66.3814","66.4887","70.6048","74.7815","77.1633","78.2632","81.2321","85.9193","95.5421","107.072","114.846","119.575","121.31","124.21","127.691","131.541","135.155","136.571","142.632","143.365","145.958","149.24","152.228","135.365"
"INTL.4701-34-CYP-BDOLPPP.A","        Cyprus","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17.2131","17.4279","17.8881","18.9812","19.9301","21.1187","21.9536","22.7707","23.3682","24.5425","25.734","26.947","28.3204","29.3535","28.7619","29.341","29.459","28.4432","26.5796","26.0934","26.976","28.7174","30.3979","32.1288","33.8259","32.057"
"INTL.4701-34-CZE-BDOLPPP.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","203.3416","207.8545","220.2759","229.4429","228.1964","227.4063","230.1756","240.1994","247.4777","251.1545","260.1456","272.2445","290.4298","310.6352","327.8946","336.1202","320.9695","328.2586","334.0397","331.6856","331.5405","339.0393","357.5844","366.3055","385.9897","398.2624","410.036","386.2298"
"INTL.4701-34-CIV-BDOLPPP.A","        Côte d’Ivoire","NA","NA","NA","NA","NA","NA","NA","NA","54.7825","56.3975","55.7795","55.8023","55.7456","55.517","56.6832","60.7096","64.2883","67.9683","71.3169","72.473","70.9764","71.0637","69.8765","68.9229","69.7692","70.9664","72.0448","73.3173","75.1808","77.621","79.1922","75.8627","83.5245","91.2695","99.2897","108.069","115.836","124.377","132.947","141.232","143.987"
"INTL.4701-34-DNK-BDOLPPP.A","        Denmark","151.3587","150.0078","154.5313","158.4215","165.3783","172.4634","178.7568","179.274","185.1757","185.4614","186.2302","188.6606","192.3527","192.3735","202.6316","208.7664","214.8209","221.8261","226.7465","233.4308","242.1775","244.1707","245.3096","246.2663","252.8374","258.7452","268.8698","271.3145","269.9255","256.6813","261.4838","264.9794","265.5794","268.0582","272.3992","278.7804","287.8294","295.9512","301.8393","308.2223","301.8664"
